#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
8722828552740,-0.9534806609,1.3144749403,0.4246133566,0.0238734830,-0.0070798921,-0.8720947838,0.4887029978
8722861840440,-0.9570900202,1.3450222015,0.3780558109,0.0170799845,0.0194644702,-0.9018232704,0.4313284102
8722895130240,-0.9634006023,1.3739345074,0.3495885730,0.0091586854,0.0433872731,-0.9231500775,0.3818737978
8722928420340,-0.9652602077,1.3914664984,0.3304210007,0.0002101312,0.0643024127,-0.9350513525,0.3486317884
8722961744640,-0.9648609757,1.3961539268,0.3245902658,-0.0086202430,0.0828181232,-0.9385910660,0.3348337806
8722994997540,-0.9594964385,1.3868645430,0.3410616815,-0.0188449538,0.0973176164,-0.9359454658,0.3379056589
8723028288640,-0.9496471286,1.3643465042,0.3671586215,-0.0305926774,0.1104004507,-0.9251995470,0.3617756582
8723061578640,-0.9340982437,1.3294137716,0.3983031213,-0.0472686068,0.1213187726,-0.9047162545,0.4056302911
8723094871440,-0.9135366082,1.2853001356,0.4436273575,-0.0699759052,0.1282743962,-0.8719022283,0.4673708980
8723128156340,-0.8904776573,1.2390024662,0.5054813027,-0.0963591678,0.1318424552,-0.8229682218,0.5441100841
8723161445040,-0.8689876199,1.1946282387,0.5772636533,-0.1223752322,0.1307897389,-0.7600729293,0.6246659018
8723194739340,-0.8500759006,1.1595273018,0.6563559771,-0.1450194988,0.1264943606,-0.6890713445,0.6986767521
8723228027740,-0.8359560370,1.1363755465,0.7388493419,-0.1653284738,0.1203692413,-0.6162665523,0.7605217144
8723261313440,-0.8258302212,1.1229108572,0.8192508221,-0.1851114165,0.1094114918,-0.5414721911,0.8127550401
8723294603040,-0.8203519583,1.1176562309,0.8936079741,-0.2030144288,0.0961555668,-0.4722709846,0.8523493215
8723327898340,-0.8190000653,1.1189086437,0.9597025514,-0.2178101113,0.0826684691,-0.4088791350,0.8823505724
8723361181440,-0.8227491975,1.1251536608,1.0147794485,-0.2275457848,0.0716657346,-0.3494508295,0.9060745312
